cc,country,survyear,eppregion,Subnational region,survname,ISO3,Sex,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
566,Nigeria,,Remaining Pop,Osun,Naomi,NGA,male,987,1152,1237,1322,1407,1493,1578,1663,1748,1819,2065
566,Nigeria,,Remaining Pop,Oyo,Naomi,NGA,female,4574,5342,7546,8856,9765,10422,10866,13502,14333,15697,17254
566,Nigeria,,Remaining Pop,Oyo,Naomi,NGA,male,3480,3792,4103,4415,4726,5038,5349,5661,5972,5832,6738
566,Nigeria,,Remaining Pop,Plateau,Naomi,NGA,female,33,36,26254,20412,21999,23586,25173,26760,28347,28641,31187
566,Nigeria,,Remaining Pop,Plateau,Naomi,NGA,male,26,29,10438,8273,8947,9621,10294,10968,11642,11825,12833
566,Nigeria,,Remaining Pop,Rivers,Naomi,NGA,female,3604,4210,5946,8866,13336,16741,20146,23551,26956,30361,69538
566,Nigeria,,Remaining Pop,Rivers,Naomi,NGA,male,3136,3660,2996,4285,6189,8378,10566,12755,14943,17132,52055
566,Nigeria,,Remaining Pop,Sokoto,Naomi,NGA,female,1452,1696,2395,5674,5972,5171,5303,4196,4076,5079,3945
566,Nigeria,,Remaining Pop,Sokoto,Naomi,NGA,male,1189,1388,1136,3228,3137,3376,3670,2137,1994,2500,2063
566,Nigeria,,Remaining Pop,Taraba,Naomi,NGA,female,7936,9270,13093,17792,22119,23845,25570,27296,30747,31369,33622
566,Nigeria,,Remaining Pop,Taraba,Naomi,NGA,male,6676,7792,6378,9192,11372,11633,11894,12154,12676,13038,14016
566,Nigeria,,Remaining Pop,Yobe,Naomi,NGA,female,1090,1273,1798,1600,1396,2897,3470,4043,4217,4231,4472
566,Nigeria,,Remaining Pop,Yobe,Naomi,NGA,male,1226,1431,1171,883,882,1652,1748,1845,1941,2531,2669
566,Nigeria,,Remaining Pop,Zamfara,Naomi,NGA,female,592,692,977,1198,3137,2005,2371,2542,2517,2971,3273
